time	V(n003)
0.000000000000000e+00	6.805114e-05
1.000000000000000e-02	6.805205e-05
1.000000299999993e-02	3.804115e-03
1.000001000000000e-02	1.251408e-02
1.000001485753946e-02	1.246523e-02
1.000001971507892e-02	1.240279e-02
1.000002457261838e-02	1.232677e-02
1.000002943015785e-02	1.223716e-02
1.000003428769731e-02	1.213397e-02
1.000003914523677e-02	1.201720e-02
1.000004400277623e-02	1.188684e-02
1.000008216913805e-02	1.088724e-02
1.000013112711766e-02	9.675442e-03
1.000022904307689e-02	7.677190e-03
1.000033463888536e-02	6.171587e-03
1.000044592967428e-02	5.242537e-03
1.000056103033667e-02	4.745658e-03
1.000070098302165e-02	4.469402e-03
1.000087289451109e-02	4.335964e-03
1.000110654122699e-02	4.281507e-03
1.000142956013270e-02	4.266253e-03
1.000195081392158e-02	4.264069e-03
2.000000000000000e-02	4.264088e-03
2.000000300000000e-02	1.195957e-02
2.000001000000000e-02	2.987316e-02
2.000001120000000e-02	2.835681e-02
2.000001280000000e-02	2.633663e-02
2.000001600000000e-02	2.229537e-02
2.000002000000000e-02	1.723830e-02
2.000002360000000e-02	1.712342e-02
2.000002720000001e-02	1.699361e-02
2.000003080000001e-02	1.684887e-02
2.000003440000002e-02	1.668920e-02
2.000003800000002e-02	1.651461e-02
2.000004160000003e-02	1.632509e-02
2.000004520000003e-02	1.612064e-02
2.000007080000006e-02	1.475544e-02
2.000012200000012e-02	1.236704e-02
2.000017287959074e-02	1.075715e-02
2.000022168760859e-02	9.931742e-03
2.000026573439226e-02	9.502165e-03
2.000030805139303e-02	9.180786e-03
2.000034999545433e-02	8.933457e-03
2.000038263928911e-02	8.806528e-03
2.000042015830834e-02	8.720036e-03
2.000048533815885e-02	8.643399e-03
2.000061323191546e-02	8.587092e-03
2.000078179433503e-02	8.570253e-03
2.000111891917416e-02	8.568591e-03
3.000000000000000e-02	8.568635e-03
3.000000300000000e-02	1.230517e-02
3.000000600000000e-02	1.604057e-02
3.000001000000000e-02	2.101833e-02
3.000001485642069e-02	2.097312e-02
3.000001971284138e-02	2.091417e-02
3.000002456926206e-02	2.084150e-02
3.000002942568275e-02	2.075509e-02
3.000003428210343e-02	2.065496e-02
3.000003913852412e-02	2.054109e-02
3.000004399494481e-02	2.041350e-02
3.000005765908546e-02	2.006777e-02
3.000008185172389e-02	1.943717e-02
3.000013023700075e-02	1.824697e-02
3.000022700755447e-02	1.627026e-02
3.000033316350663e-02	1.474413e-02
3.000044388655446e-02	1.380584e-02
3.000055931246539e-02	1.329850e-02
3.000069824242301e-02	1.301788e-02
3.000087004448979e-02	1.288100e-02
3.000110162773013e-02	1.282509e-02
3.000142334415341e-02	1.280924e-02
