Freq.	V(nc_01)
1.00000000000000e+00	(-1.51174982791584e+01dB,-2.96842078704271e-02°)
1.00230523807790e+00	(-1.51174982845391e+01dB,-2.97526370244353e-02°)
1.00461579027839e+00	(-1.51174982899446e+01dB,-2.98212239238498e-02°)
1.00693166885180e+00	(-1.51174982953750e+01dB,-2.98899689323096e-02°)
1.00925288607668e+00	(-1.51174983008305e+01dB,-2.99588724142950e-02°)
1.01157945425990e+00	(-1.51174983063112e+01dB,-3.00279347351248e-02°)
1.01391138573668e+00	(-1.51174983118172e+01dB,-3.00971562609570e-02°)
1.01624869287070e+00	(-1.51174983173487e+01dB,-3.01665373587982e-02°)
1.01859138805412e+00	(-1.51174983229056e+01dB,-3.02360783965017e-02°)
1.02093948370768e+00	(-1.51174983284882e+01dB,-3.03057797427606e-02°)
1.02329299228075e+00	(-1.51174983340966e+01dB,-3.03756417671287e-02°)
1.02565192625141e+00	(-1.51174983397308e+01dB,-3.04456648400050e-02°)
1.02801629812647e+00	(-1.51174983453911e+01dB,-3.05158493326436e-02°)
1.03038612044162e+00	(-1.51174983510774e+01dB,-3.05861956171556e-02°)
1.03276140576140e+00	(-1.51174983567901e+01dB,-3.06567040665087e-02°)
1.03514216667934e+00	(-1.51174983625291e+01dB,-3.07273750545323e-02°)
1.03752841581801e+00	(-1.51174983682946e+01dB,-3.07982089559126e-02°)
1.03992016582906e+00	(-1.51174983740867e+01dB,-3.08692061462051e-02°)
1.04231742939330e+00	(-1.51174983799055e+01dB,-3.09403670018299e-02°)
1.04472021922080e+00	(-1.51174983857512e+01dB,-3.10116919000727e-02°)
1.04712854805090e+00	(-1.51174983916239e+01dB,-3.10831812190897e-02°)
1.04954242865232e+00	(-1.51174983975236e+01dB,-3.11548353379108e-02°)
1.05196187382322e+00	(-1.51174984034507e+01dB,-3.12266546364364e-02°)
1.05438689639126e+00	(-1.51174984094050e+01dB,-3.12986394954456e-02°)
1.05681750921366e+00	(-1.51174984153869e+01dB,-3.13707902965943e-02°)
1.05925372517729e+00	(-1.51174984213963e+01dB,-3.14431074224171e-02°)
1.06169555719872e+00	(-1.51174984274336e+01dB,-3.15155912563310e-02°)
1.06414301822431e+00	(-1.51174984334986e+01dB,-3.15882421826376e-02°)
1.06659612123026e+00	(-1.51174984395917e+01dB,-3.16610605865260e-02°)
1.06905487922266e+00	(-1.51174984457129e+01dB,-3.17340468540664e-02°)
1.07151930523761e+00	(-1.51174984518623e+01dB,-3.18072013722278e-02°)
1.07398941234124e+00	(-1.51174984580402e+01dB,-3.18805245288654e-02°)
1.07646521362983e+00	(-1.51174984642465e+01dB,-3.19540167127320e-02°)
1.07894672222983e+00	(-1.51174984704815e+01dB,-3.20276783134719e-02°)
1.08143395129794e+00	(-1.51174984767453e+01dB,-3.21015097216343e-02°)
1.08392691402120e+00	(-1.51174984830380e+01dB,-3.21755113286626e-02°)
1.08642562361706e+00	(-1.51174984893597e+01dB,-3.22496835269067e-02°)
1.08893009333343e+00	(-1.51174984957106e+01dB,-3.23240267096154e-02°)
1.09144033644876e+00	(-1.51174985020908e+01dB,-3.23985412709517e-02°)
1.09395636627209e+00	(-1.51174985085005e+01dB,-3.24732276059830e-02°)
1.09647819614318e+00	(-1.51174985149398e+01dB,-3.25480861106854e-02°)
1.09900583943252e+00	(-1.51174985214087e+01dB,-3.26231171819537e-02°)
1.10153930954141e+00	(-1.51174985279076e+01dB,-3.26983212175900e-02°)
1.10407861990207e+00	(-1.51174985344364e+01dB,-3.27736986163215e-02°)
1.10662378397766e+00	(-1.51174985409954e+01dB,-3.28492497777894e-02°)
1.10917481526240e+00	(-1.51174985475846e+01dB,-3.29249751025569e-02°)
1.11173172728159e+00	(-1.51174985542043e+01dB,-3.30008749921080e-02°)
1.11429453359173e+00	(-1.51174985608545e+01dB,-3.30769498488613e-02°)
1.11686324778056e+00	(-1.51174985675354e+01dB,-3.31532000761527e-02°)
1.11943788346715e+00	(-1.51174985742472e+01dB,-3.32296260782548e-02°)
1.12201845430196e+00	(-1.51174985809899e+01dB,-3.33062282603680e-02°)
1.12460497396692e+00	(-1.51174985877638e+01dB,-3.33830070286282e-02°)
